SiO2,Al2O3,MgO,FeO,MnO,CaO,K2O,Na2O,TiO2,Cr2O3,ZnO,P2O5,Y2O3,F,Cl,Total,Comment
37.218,20.349,13.784,13.14,0.0,0.013,8.998,0.404,1.01,0.022,0.02,0.005,0.007,0.367,0.368,95.467,bt-01
37.363,20.037,14.106,12.539,0.0,0.013,8.946,0.461,1.206,0.02,0.042,0.0,0.0,0.313,0.335,95.173,bt-02
23.748,22.152,9.611,31.549,0.066,0.028,0.023,0.035,0.047,0.0,0.017,0.037,0.0,0.017,0.196,87.475,chl-04
46.986,39.183,0.151,1.264,0.033,0.41,3.409,4.883,0.083,0.0,0.0,0.006,0.0,0.0,0.065,96.458,pa-05
48.389,32.414,8.227,7.713,0.06,0.027,0.0,0.924,0.005,0.009,0.0,0.005,0.0,0.0,0.014,97.784,cd-06
48.87,32.696,8.39,7.482,0.068,0.049,0.0,0.845,0.0,0.0,0.0,0.0,0.0,0.0,0.023,98.418,cd-07
61.839,24.661,0.0,0.484,0.015,5.738,0.032,7.917,0.0,0.01,0.019,0.025,0.0,0.0,0.0,100.74,pl-08
37.816,21.184,4.189,35.118,1.001,1.435,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.004,100.752,g-09
37.584,21.311,4.651,33.895,0.999,1.454,0.0,0.035,0.013,0.034,0.0,0.03,0.107,0.0,0.014,100.124,g-10
60.657,25.087,0.001,0.0,0.0,5.849,0.106,7.94,0.0,0.0,0.003,0.113,0.0,0.0,0.0,99.756,pl-22
61.338,25.025,0.015,0.03,0.003,5.801,0.079,7.997,0.047,0.0,0.057,0.064,0.0,0.0,0.0,100.456,pl-23
28.057,53.95,2.04,11.888,0.186,0.036,0.0,0.0,0.585,0.063,1.024,0.0,0.0,0.0,0.007,97.834,st-33
27.565,53.885,1.972,11.828,0.175,0.0,0.0,0.0,0.607,0.003,1.035,0.0,0.0,0.0,0.0,97.07,st-34
27.091,53.841,2.099,11.875,0.18,0.031,0.0,0.0,0.554,0.046,1.116,0.0,0.0,0.0,0.014,96.844,st-35
46.078,35.793,0.652,0.784,0.0,0.002,9.333,1.182,0.697,0.081,0.0,0.0,0.0,0.0,0.013,94.612,ms-49
45.487,35.669,0.803,0.895,0.015,0.0,9.394,1.171,0.643,0.033,0.015,0.0,0.034,0.0,0.0,94.159,ms-50
