Na2O,Al2O3,P2O5,Y2O3,CaO,K2O,TiO2,Cr2O3,FeO,MnO,ZnO,MgO,SiO2
0.008,21.19,0.018,0.002,1.969,0.011,0.0,0.0,33.202,2.021,0.018,4.087,37.244
0.003,21.291,0.04,0.0,1.929,0.0,0.0,0.036,32.513,1.981,0.0,4.628,37.574
0.007,21.211,0.034,0.008,1.992,0.006,0.015,0.0,32.515,2.129,0.017,4.639,37.646
0.009,20.998,0.027,0.0,1.908,0.0,0.029,0.026,32.275,2.345,0.0,4.549,37.568
0.008,21.325,0.013,0.005,1.987,0.0,0.009,0.033,31.936,2.636,0.0,4.501,37.69
0.01,21.14,0.029,0.001,2.075,0.008,0.046,0.028,31.832,2.878,0.041,4.43,37.591
0.017,21.103,0.025,0.0,1.96,0.001,0.011,0.031,31.754,3.2,0.0,4.339,37.498
0.007,21.077,0.041,0.017,1.92,0.0,0.042,0.046,31.77,3.425,0.027,4.227,37.623
0.031,21.087,0.02,0.015,2.023,0.001,0.072,0.057,31.457,3.797,0.0,4.076,37.408
0.012,21.106,0.018,0.035,1.929,0.0,0.005,0.04,31.44,3.903,0.021,4.113,37.515
0.129,21.052,0.016,0.018,2.042,0.031,0.022,0.032,30.908,3.983,0.0,4.131,37.55
0.001,21.078,0.022,0.064,1.947,0.001,0.05,0.019,31.016,4.381,0.012,3.97,37.454
0.007,21.083,0.003,0.031,1.959,0.0,0.021,0.029,30.371,4.998,0.018,3.791,37.511
0.012,21.233,0.038,0.044,1.901,0.002,0.002,0.01,30.554,5.367,0.015,3.707,37.126
0.0,21.268,0.012,0.076,1.882,0.007,0.004,0.0,30.078,5.897,0.004,3.618,37.395
0.014,21.122,0.0,0.04,1.854,0.0,0.0,0.023,30.063,6.486,0.023,3.5,37.418
0.017,21.146,0.018,0.175,2.103,0.002,0.0,0.019,29.655,6.671,0.0,3.354,37.348
0.026,20.88,0.021,0.122,2.273,0.01,0.022,0.024,29.133,6.958,0.0,3.252,37.252
0.024,20.882,0.018,0.095,2.437,0.0,0.007,0.028,28.823,7.361,0.0,3.125,37.18
0.009,20.814,0.037,0.053,2.596,0.014,0.025,0.003,28.2,7.622,0.0,3.039,37.319
0.032,20.924,0.015,0.093,2.767,0.002,0.03,0.026,28.153,8.013,0.0,2.932,37.289
0.0,20.89,0.007,0.0,3.098,0.001,0.0,0.004,27.781,8.352,0.027,2.734,37.133
0.006,20.825,0.024,0.092,3.0,0.005,0.051,0.026,27.44,8.687,0.0,2.711,37.197
0.018,20.912,0.024,0.078,3.168,0.0,0.018,0.01,26.98,9.082,0.009,2.621,37.067
0.017,20.857,0.007,0.092,3.189,0.003,0.045,0.013,26.624,9.338,0.0,2.534,37.216
0.018,20.676,0.003,0.075,3.085,0.002,0.077,0.0,26.744,9.726,0.0,2.481,37.153
0.014,20.752,0.014,0.0,3.452,0.002,0.039,0.0,26.316,9.894,0.003,2.378,37.261
0.009,20.797,0.035,0.086,3.427,0.0,0.039,0.015,26.039,10.066,0.028,2.394,37.271
0.019,20.85,0.037,0.099,3.73,0.007,0.068,0.015,25.47,10.461,0.01,2.253,37.226
0.016,20.849,0.016,0.022,3.694,0.0,0.037,0.0,25.395,10.563,0.012,2.182,37.223
0.015,20.726,0.025,0.096,3.736,0.0,0.077,0.047,25.292,10.789,0.001,2.163,37.009
0.015,20.83,0.037,0.115,3.906,0.0,0.042,0.019,25.065,10.898,0.008,2.121,37.017
0.014,20.701,0.047,0.099,3.986,0.0,0.104,0.017,24.695,10.903,0.0,2.087,36.776
0.02,20.884,0.042,0.07,4.082,0.0,0.086,0.038,24.845,11.069,0.008,2.075,37.169
0.004,20.621,0.031,0.024,4.14,0.001,0.023,0.063,24.375,11.344,0.0,1.977,36.905
0.017,20.636,0.04,0.028,4.289,0.004,0.069,0.001,24.382,11.487,0.0,1.919,37.157
0.02,20.645,0.033,0.042,4.541,0.003,0.069,0.024,23.945,11.565,0.029,1.862,37.152
0.016,20.64,0.044,0.052,4.419,0.001,0.08,0.019,24.124,11.708,0.042,1.877,37.025
0.028,20.697,0.029,0.026,4.553,0.0,0.051,0.032,23.682,11.715,0.014,1.826,37.062
0.021,21.06,0.008,0.008,4.585,0.0,0.342,0.029,23.692,11.72,0.0,1.771,36.921
0.009,20.78,0.015,0.003,4.914,0.0,0.047,0.0,23.717,11.757,0.0,1.798,37.209
0.013,20.724,0.001,0.019,4.918,0.002,0.09,0.048,23.206,11.758,0.019,1.731,37.093
0.016,20.686,0.027,0.0,5.155,0.005,0.074,0.006,23.243,11.822,0.0,1.73,37.141
0.018,20.674,0.026,0.0,5.375,0.009,0.06,0.003,23.033,11.954,0.038,1.647,36.912
0.013,20.556,0.001,0.0,5.167,0.0,0.058,0.02,23.157,11.917,0.0,1.689,36.765
0.0,20.619,0.033,0.0,4.848,0.0,0.044,0.024,23.276,12.047,0.02,1.715,36.864
0.01,20.491,0.022,0.0,5.241,0.001,0.075,0.008,22.976,11.749,0.025,1.724,36.993
0.008,20.483,0.019,0.015,5.238,0.001,0.09,0.031,23.037,11.862,0.002,1.691,37.04
0.015,20.656,0.029,0.013,4.955,0.0,0.103,0.03,23.25,11.896,0.0,1.72,36.952
0.027,20.608,0.039,0.0,5.035,0.002,0.085,0.029,23.17,11.958,0.0,1.724,37.04
0.008,20.574,0.036,0.008,4.849,0.0,0.055,0.054,23.209,11.786,0.0,1.765,37.018
0.016,20.71,0.015,0.009,4.768,0.002,0.089,0.03,23.73,11.78,0.0,1.756,37.048
0.006,20.585,0.006,0.0,4.717,0.0,0.006,0.017,23.628,11.805,0.0,1.737,36.86
0.014,20.594,0.041,0.0,4.631,0.0,0.094,0.014,23.969,11.661,0.028,1.804,36.819
0.023,20.692,0.04,0.025,4.365,0.003,0.081,0.018,23.87,11.759,0.0,1.856,36.886
0.006,20.642,0.027,0.0,4.394,0.0,0.06,0.003,24.008,11.715,0.006,1.881,36.794
0.031,20.543,0.025,0.0,4.359,0.0,0.065,0.009,24.042,11.657,0.03,1.878,36.833
0.01,20.59,0.001,0.025,4.119,0.0,0.077,0.015,24.194,11.544,0.0,1.916,36.844
0.008,20.594,0.022,0.039,4.199,0.0,0.07,0.029,24.016,11.485,0.0,1.909,36.688
0.004,20.572,0.033,0.039,4.134,0.006,0.061,0.018,24.249,11.415,0.013,1.963,36.868
0.012,20.566,0.022,0.017,4.036,0.0,0.06,0.034,24.573,11.44,0.014,1.967,36.744
0.011,20.555,0.033,0.038,4.0,0.0,0.09,0.034,24.439,11.473,0.0,2.06,36.87
0.015,20.539,0.006,0.016,4.081,0.0,0.085,0.046,24.775,11.282,0.0,2.016,36.848
0.013,20.726,0.029,0.03,3.999,0.001,0.017,0.039,24.818,11.263,0.01,2.052,36.928
0.016,20.579,0.058,0.003,3.964,0.0,0.085,0.004,24.738,10.993,0.018,2.115,36.858
0.007,20.535,0.02,0.039,4.083,0.0,0.15,0.0,24.973,10.841,0.006,2.088,36.885
0.033,20.725,0.038,0.013,3.9,0.0,0.063,0.014,24.89,10.647,0.015,2.184,36.864
0.021,20.513,0.008,0.045,3.768,0.0,0.105,0.051,25.165,10.552,0.0,2.213,36.912
0.0,20.625,0.036,0.0,3.686,0.0,0.044,0.0,25.515,10.292,0.009,2.277,36.732
0.007,20.582,0.009,0.0,3.53,0.0,0.031,0.007,25.952,10.274,0.036,2.277,36.871
0.031,20.628,0.0,0.048,3.365,0.0,0.027,0.0,25.891,10.007,0.015,2.383,36.73
0.006,20.568,0.025,0.064,3.216,0.004,0.058,0.038,26.288,9.634,0.0,2.471,36.718
0.022,20.501,0.039,0.052,3.096,0.0,0.035,0.038,26.607,9.629,0.035,2.52,36.566
0.014,20.546,0.033,0.115,2.994,0.0,0.021,0.0,26.969,9.151,0.008,2.578,36.618
0.019,20.527,0.03,0.143,2.781,0.004,0.039,0.02,27.239,8.882,0.0,2.705,36.685
0.02,20.551,0.036,0.111,2.671,0.0,0.005,0.004,27.568,8.585,0.026,2.741,36.678
0.015,20.605,0.047,0.132,2.6,0.005,0.098,0.042,27.867,8.296,0.0,2.854,36.696
0.023,20.741,0.027,0.113,2.469,0.003,0.03,0.006,28.292,8.073,0.003,2.943,36.682
0.006,20.595,0.031,0.133,2.352,0.0,0.0,0.001,28.416,7.668,0.003,2.976,36.632
0.021,20.774,0.051,0.123,2.297,0.0,0.016,0.0,28.762,7.308,0.0,3.187,36.7
0.04,20.617,0.026,0.16,2.229,0.0,0.016,0.007,28.715,7.078,0.008,3.182,36.744
0.012,20.731,0.0,0.094,2.027,0.002,0.0,0.01,29.157,6.685,0.01,3.306,36.782
0.023,20.557,0.01,0.029,1.812,0.0,0.02,0.0,29.559,6.298,0.021,3.439,36.825
0.013,20.681,0.013,0.072,1.838,0.017,0.0,0.005,30.21,5.727,0.0,3.707,36.752
0.018,20.637,0.024,0.032,1.956,0.0,0.034,0.006,30.291,5.003,0.0,3.791,36.945
0.01,20.808,0.019,0.042,1.944,0.002,0.01,0.045,30.933,4.322,0.015,4.033,37.16
0.022,20.638,0.0,0.007,1.909,0.004,0.046,0.072,32.105,3.081,0.0,4.143,37.025
0.016,20.794,0.023,0.025,2.033,0.0,0.022,0.033,31.812,2.954,0.0,4.271,36.986
0.003,20.8,0.007,0.036,2.002,0.0,0.005,0.022,31.627,3.113,0.0,4.331,37.139
0.011,20.736,0.018,0.011,1.972,0.0,0.014,0.026,31.531,3.218,0.0,4.324,36.982
0.002,20.51,0.009,0.015,2.02,0.0,0.015,0.046,31.462,3.062,0.0,4.357,37.063
0.0,20.736,0.019,0.004,1.996,0.004,0.03,0.0,31.499,2.827,0.007,4.453,37.017
0.011,20.696,0.013,0.007,1.942,0.002,0.026,0.057,31.825,2.679,0.0,4.389,37.063
0.001,20.728,0.026,0.0,1.991,0.005,0.02,0.054,31.862,2.444,0.01,4.484,36.817
0.012,20.76,0.026,0.006,1.921,0.0,0.019,0.052,32.173,2.246,0.0,4.556,36.719
0.017,20.655,0.012,0.0,1.946,0.003,0.026,0.032,32.284,2.098,0.022,4.625,36.689
0.015,20.703,0.008,0.0,1.952,0.0,0.0,0.033,32.44,1.935,0.007,4.597,37.027
0.02,20.695,0.028,0.018,1.943,0.005,0.008,0.055,32.667,1.804,0.0,4.57,37.014
0.008,20.781,0.02,0.0,1.913,0.006,0.0,0.044,32.8,1.737,0.011,4.327,36.674
0.011,20.665,0.039,0.0,2.157,0.005,0.0,0.079,32.509,2.71,0.002,3.347,36.608
